Content,aspect_labels,sentiment_scores
good service,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
took my pet fancy rat here for treatment she was losing fur around her neck itching and scabbing she also had a recurring overgrown tooth  making an appointment was so easy and the reception staff was extremely friendly and helpful the veterinarian who treated my rat was knowledgeable friendly and truly listened to my concerns a few days later she called to follow up on my pets recovery  great atmosphere friendly staff great care affordable and reasonable prices,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wonderful place dr pearlman was very pleasant and gentle with our cat mitten it was our first time there kerri the receptionist waived the 6900 first exam fee because i mentioned the internet coupon it wouldnt print but they honored it  she also squeezed us in that same day because his shots were overdue mitten received his 3 year fercp and 1 year rabies vaccinations thank you ocean county veterinary hospital ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i came to ocvh with my 11 yr old labrador who had a growth on his eyelid  new to the area i chose this facility off the internet and took a chance  i am over whelmed by the compassion the entire staff showed  dr weiner and dr briggs were caring and knowledgeable never rushing our appointments taking the time to explain everything clearly  faced with surgery i felt confident justice would receive the best care i could hope for and he did  i am filled with gratitude and truly appreciate each member of this amazing veterinarian hospital  highly recommended,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have taken our eclectus parrot oliver to see dr gottlieb twice  he and his staff have a real rapport with birds  oliver had been plucking feathers from his chest and stomach  dr gottlieb found an infected follicle prescribed an antibiotic and it is amazing the regrowth of feathers oliver has experienced  these people are the best,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i would like to make a recommendation to anyone needing a vet for their animal we have lost 2 animals a kitten and an 8 year old dog within a month and a half this vet takes your animal in asap and has shown so much compassion and generosity by helping us out with some financial costs of losing two pets recently thank you to ocean county veterinary hospital on river ave in lakewood for showing kindheartedness during these difficult times hopefully i wont have to see you soon but all my business will go to you in the future ,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
they consistently care about my dog as if he was their own  the staff at ocvh always goes above and beyond our expectations  i asked them to update me if there were any issues while charlie boarded with them they called just to tell me he was happy and healthy  i recommend ocvh to any pet owner who wants to feel secure knowing their loved ones are being cared for properly,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ocean county veterinary hospital is the only place i will ever bring any pets to the doctors are all unbelievably kind and caring and truly love every animal they see the staff is always energetic and friendly and they love the animals just as much i have a rabbit and its not easy finding an exotic pet vet they are the best,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wonderful experience from my first phone call for basic information to my first puppy visit exam the vet was so warm knowledge  thorough everyone is so friendly  caring the facility is state of the art  their hours are amazing im so happy i made the first call  so is my new little  rescue puppy scout,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very personal care for your pet and a personal connectioon between vet and client i go to the big boxes for shots but wouldnt bring them anywhere else for sick treatmemtthey are a bit pricy and need to consider a multi pet discount plan their current get a stamp on a card for every 100 spent on a visit is very old school and not really an incentive or reward,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
this was our first experience at ocean county veterinary hospital  our 13 year old dog was very sick  thankfully she received the proper care and is doing well  everyone there is very caring and clearly defined our options with our dog  we will now be using ocean county veterinary hospital for a pets needs,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz is great  i have been a client for several years with older and ill cats as well as my new younger healthy ones  he is always responsive to my calls with questions about my own cats as well as the feral cats ive encountered recently  i have never had a bad experience with anyone at your hospital  i especially appreciate your professional manner and the treatment i was given on the two occasions when i required end of life care,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
very pleased with the visit to ocean county vet hospital the staff is friendly and genuine in their interest in helping as you first enter the door the groomer did an excellent job in spite of my pet being in need of surgery the doctor was excellent in reviewing her findings offering alternatives but strongly suggesting the treatment plan best suited for the situation  i will return to the ocean count vet hospital in the future without question,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i was in an emergency situation  called my regular vet and was passed off to poison hotline whose main concern was getting my credit card number for payment  friends happened to arrive at my home and called his vet at ocean county veterinary  in just a few moments they gave me helpful advice and that saved my pup and arranged to see home with hours  they are now my pups new vet  doctor bully and the front desk ladies were wonderful to us  highly recommend this facility,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i had wonderful experiences at the lakewood location within just a few weeks timespan my dog was neutered brought up to date on his shots and treated for sensitive skin issues and my cat was treated for fleas brought up to date on shots and boarded overnight both pets came home perfectly fine and both pets and myself were treated in a very friendly caring and professional manner my pets were treated by a few different doctors and i was please with all of them highly recommended,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
just as i want the best medical care for the humans in my household i insist on the best medical care possible for my fur babies  there are many other veterinarians between my home and ocvh but i bypass them all  just recently we had an emergency  we were given prompt professional compassionate friendly care that  i have come to expect as the norm  they are there seven days a week,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first time customers had 2 young cats one had some type of acne problem on his face the vet took a culture and diagnosed the problem previously tried lanoka oaks vetenaryand the vet said he had to research it on line what an amateur compared to the vet at ocvh,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
good experience has sunday hours staff friendly curteous and helpful havent had a problem getting an appointment same day i called veterinarians educated in all creatures they have three bird vets and a reptile guy too,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
this is the first time weve been to the office to have ourmufffin cockatiel evaluated for nail clippingi was unaware of the intricate exam that took place it was comprehensivei found the vet  to be extremely knowleadgeablei am so glad we were referred to the office by a local pet storethank you mary caddigan,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
we have been seeing the vets at ocean co veterinary hospital for several years now and are very happy with the care and professionalism exhibited by everyone there  from the reception area to the techs to the doctors we are always pleased with the care our dog and cat get,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i really like this office the staff is very friendly and helpful dr danowitz is wonderful he is very knowledgeable and professional he loves animals and gets down on the floor to greet my dog i like that ocvh has multiple locations in ocean county and was able to accommodate me with an appointment for treatment on a friday after 5pm for a bad bee sting,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ive been dealing with ocean county veterinary hospital for over 10 years and have never had a negative experience the doctors and support staff are excellent doctor erica iaquinto has been taking care of my 3 cats for many years and does a superb job with them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the people and the facility are top notch we leave our amazon parrot for extended period of time and the care they give our pet is the best they interact with him and send us pictures to keep us posted i have no reservations in recommending them for any pet requirements that might be needed,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
so far so good  everyone was friendly helpful efficient professional  i thought the pricing was very honest no upselling but no skimping on what was necessary either  very nice veterinary group  glad we found them,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.5, 0.0, 0.0, 0.0]"
my experiences with ocvh have always been very comforting the staff is very professional yet friendly and caring olivers surgeries have always been explained well and the care he was given was always top notch  i trust them 150 with my oliver highly recommend them,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
the veterinarians conducted a thorough examination and clearly and clearly explained the diagnosis and treatment options the most important thing is that my dog feels comfortable throughout the entire visit i am grateful to the staff for their good care and concern,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hello  i happen to be the owner of  4 great danes and an english  short haired pointer  as well as many other    feathered  friends  my last  visit was  terrific  i  recieved a  speedy  appointment  with a   dr i was not familiar with   which was   fine  actually it was a  wonderful  experience this new young lady got to meet a vetran animal  owner dr martin was  a most  knowledgable young lady cordial and experienced as well  my animals  always look forward to their  vet visit because they get such  good  care i can  proudly say i have been a customer of  occvh for the   past  50 years if the doctors were not the best  why would one go back thank you  cordually helene narucki,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
excellent veterinary hospital my dog puma is a new patient the staff  dr iquinto are true professionals compassionate as well as attentive  they treated my puma for back pain  she responded well to the treatment i highly recommend this place to all animal owners,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr danowitz is a downtoearth intelligent caring veteranarian who is not fast to sell you a product or push meds into your pet  he thinks holistically as well as medicinally my family and i have never felt so comfortable and confident in our veteranarian as we do with dr danowitz,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
im always satisfied with fischer veternarian the staff are excellent  my two dogs one a boxer and the other a pomeranian are treated with the up most care they also have a concern for your feelings when treating your animal will definitely recommend them to anyone that wants excellent care for their fur babies,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
i have been bringing my fur kids to ocvh for 7 years now and they have been nothing but the absolute best in every way possible  whether it was treating my dogs and cats for present issues or the unfortunate time of making the decision to let them go be at peace they showed me nothing but compassion and understanding  treated me like a person and most of all treated my babies to the best care i could ever imagine  they listen to you and not dictate to you what you should do   you have a say in your pets care and treatment and this is why i will continue to use them for years to come,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dr koenigstein was great with my gecko gg she was very gentle with him in previous years gg didnt like going to veterinarians but this year he was smiling throughout his entire visit i highly recommend dr koenigstein for pets of all sizes,"[0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
